SpecimenID;Surface Area;Volume;AbsGI;Folding Length;Folding number;Lambda;Delta;Cerebellum
Human_51058;198996,1719;966763,1875;4,208692;12544,31641;418;11,3432;10,1919;124865
Human_51060;194959,0156;884144,4375;4,376333;11579,04004;362;11,5462;11,0642;134151
Human_51061;186541,2813;844164,75;4,318564;11749,45117;445;10,838;10,4576;135201
Human_51062;175926,9063;829860;4,119504;10746,7793;325;12,1042;10,3181;137673
Human_51063;219541,1406;1044659,688;4,409424;13564,86231;443;11,0688;10,6502;140324
Human_51114;236309,3281;1202801,875;4,3205;14548,40527;508;11,1675;10,6592;159412
Human_51116;235943,4063;1134178,875;4,486104;14414,16797;458;10,9101;10,9138;160387
Human_51118;192413,5469;921537,6875;4,201549;12276,67676;396;11,1025;10,1218;166446
Human_51152;235403,8125;1126108,625;4,497203;14544,20996;450;10,7713;10,7998;144018
Human_51153;226282,6563;1114357,625;4,353288;13780,41797;453;11,3935;10,7238;160291
Chimp_Abby_Yerkes;75454,53906;315963,8125;3,363383;5245,587402;210;12,413;8,17787;57450
Chimp_Amanda_Yerkes;72352,875;305459,6563;3,298646;5001,506836;190;12,9958;7,96829;50279
ApelleCebusApell_f4b9;13956,47266;36284,49609;2,633161;1057,996338;37;14,9051;5,73887;5190,542172
Chimp_Artemus_Yerkes;67581,49219;260889,0156;3,422734;4611,869141;191;12,6145;8,34658;47895
Chimp_Arthur_Yerkes;66537,09375;281290,25;3,204866;4669,95752;184;12,9881;7,75386;58581
AteleAtelesAter_7245;20839,45898;69996,35156;2,537185;1786,841919;73;13,4993;4,91309;7951,719058
Atele_6717;25067,33789;84765,64844;2,686236;1924,591553;85;14,1146;5,96747;9854,549019
AyeAyeDaubentoni_cb56;6000,070312;17151,12695;1,865565;516,742065;26;18,0997;2,56152;3032,442309
Chimp_Azalea_Yerkes;61232,57813;238143,1875;3,295639;4293,882324;181;12,7993;7,86075;57052
BabouinCercopith_a723;30136,59375;89861,17969;3,106194;2503,467529;89;11,337;6,36946;9480,471302
Chimp_Barbara_Yerkes;67348,75;284481,75;3,219653;4673,424316;169;13,3086;7,75671;59056
Chimp_Barney_Yerkes;77455,58594;302061,3125;3,557721;5252,574707;208;12,3651;8,56368;61711
Bonobo_brian;60664,86719;243035,6094;3,221117;4567,099121;112;11,8912;7,33742;48445,16062
Chimp_Carl_Yerkes;66565,11719;271018,7188;3,286722;4773,478516;198;12,6396;7,62497;39663
ColobeColobusPol_6118;15191,20215;40468,38672;2,665001;1167,545654;43;14,2539;5,8843;5787,085426
Chimp_David_Yerkes;66984,48438;294926,6563;3,126181;4503,29248;159;13,7571;7,99601;40300
DouroucouliAotus_091c;4439,394531;11745,66895;1,776592;282,900482;10;26,0664;2,65923;1626,5
GalagoDemidoviiG_6cf3;1238,425049;1925,203247;1,654758;80,023254;6;27,377;1,78731;320,5625
Gibbon_buddy;20570,375;60685,45703;2,754451;1789,443359;61;12,1827;5,40406;8684,520609
GorillaBeringeiG_0854;55806,56641;272907,9063;2,742777;4403,79834;120;14,2611;5,54184;46163,14813
Gorilla_kinyani;56709,08594;237689,6719;3,056058;4534,380859;107;12,1509;6,43102;58402,16907
LangurIndienPith_8390;17509,91016;49915,83203;2,670797;1337,516724;50;14,0077;6,08752;6748,640625
LemurMongosLemur_b941;5561,826172;14495,49219;1,934541;435,897858;25;19,3514;3,08378;3223,557384
